cp_id,district_id,address_en,address2_en,lat,lgt,waste_type,legend
545,Yuen_Long,Kam Chin Wai RCP (YL-73) at Kam Chin Wai,,22.43363,114.07292,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
546,Yuen_Long,Yuen Kong Tsuen RCP (YL-74) at Yuen Kong Tsuen,,22.425115,114.077402,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
548,Yuen_Long,Wang Chau Tung Tau Wai Refuse Collection PointWang Chau Tung Tau Wai Refuse Collection Point (YL-76),,22.45363,114.02864,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
551,Yuen_Long,Lin Fa Tei Tsuen RCP (YL-79) at Lin Fa Tei Tsuen,,22.429097,114.087394,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
552,Yuen_Long,Kam Sheung Road (Opposite to the lamp post U8464),,22.43019,114.09908,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
555,Yuen_Long,Pat Heung Police Station RCp (YL-85) opposite to Pat Heung Police Station,,22.44088,114.08984,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
559,Yuen_Long,San Hing Tsuen RCP (YL-90) at San Hing Tsuen,,22.46441,113.98649,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
560,Yuen_Long,Tan Kwai Tsuen RCP (YL-91) at Tan Kwai Tsuen,,22.431953,113.998012,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
561,Yuen_Long,Hung Shui Kiu Station,,22.433572,113.997126,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
562,Yuen_Long,Shing Uk Tsuen RCP (YL-98) at Shing Uk Tsuen,,22.46397,114.01938,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
563,Yuen_Long,"At side of bin site at Lo Uk Tsuen, Ping Ha Road",,22.451719,113.994916,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
565,Yuen_Long,Hang Tau Tsuen RCP (YL-186) at Hang Tau Tsuen (Near V6298),,22.44648,114.00901,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
570,Yuen_Long,Hop Shing Wai RCP (YL-111) at Hop Shing Wai,,22.49842,114.059779,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
571,Yuen_Long,Sha Chau Lane RCP (YL-112) at Sha Chau Lane,,22.444987,113.99604,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
572,Yuen_Long,Chiu Kiu Fa Pau Wui RCP (YL-113) at Chiu Kiu Fa Pau Wui,,22.431118,113.99929,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
575,Yuen_Long,"Wing Ning Tsuen RCP 2 (YL-118) at Wing Ning Tsuen RCP 2, beside A/P 107(YL-108)",,22.449471,114.014622,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
576,Yuen_Long,Shui Bin Wai RCP (YL-119) at Shui Bin Wai,,22.444508,114.01905,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
577,Yuen_Long,Koon Chun RCP (YL-121) at Koon Chun,,22.456993,114.051266,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
579,Yuen_Long,Ha Pak Nai Tsuen RCP (YL-124) at Ha Pak Nai Tsuen,,22.430517,113.945271,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
580,Yuen_Long,Ha Wan Tsuen RCP (YL-125) at Ha Wan Tsuen,,22.514267,114.073175,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
581,Yuen_Long,Shek Kong Wai RCP (YL-127) at Shek Kong Wai,,22.44802,113.992289,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
583,Yuen_Long,Hang Hau Tsuen RCP (YL-134) at Hang Hau Tsuen,,22.463775,113.983315,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
586,Yuen_Long,Tin Sum Tsuen RCP (YL-138) at Tin Sum Tsuen,,22.434677,113.992601,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
587,Yuen_Long,Ngau Tam Mei West (near 500 wooden hut) RCP (YL-140) at Ngau Tam Mei West near 500 wooden hut,,22.473043,114.064494,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
588,Yuen_Long,Tung Chun Wai RCP (YL-142) at Tung Chun Wai,,22.501082,114.076895,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
589,Yuen_Long,Ngau Tam Mei East RCP (YL-147) at Ngau Tam Mei East,,22.477284,114.071048,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
591,Yuen_Long,"Ha Chuk Yuen Tsuen (Chi Lin Aged Home) RCP (YL-150) at Ha Chuk Yuen Tsuen, (Opposite to Chi Lin Aged Home)",,22.476118,114.056569,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
593,Yuen_Long,Mo Fan Heung RCP (YL-152) at Mo Fan Heung,,22.459893,114.053049,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
596,Yuen_Long,"Lo Ma Chau RCP (YL-155) at Lo Ma Chau, San Tin",,22.507284,114.080624,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
597,Yuen_Long,Hung To Pak Shek Au (1) RCP (YL-156) at Hung To Pak Shek Au (1),,22.504776,114.089379,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
600,Yuen_Long,"Ki Lun Shan (entrance) RCP (YL-159) at Ki Lun Shan (entrance) O/S 129, W/Hut129",,22.501347,114.082971,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
601,Yuen_Long,Mai Po Lung (entrance) RCP (YL-160) at Mai Po Lung (entrance),,22.495238,114.06898,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
604,Yuen_Long,Shek Wu Tong V.M.O RCP (YL-166) at Shek Wu Tong V.M.O,,22.427284,114.072847,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
